concept_name,description
material_t_mg,"Material score. Every piece on the board has a predefined value that changes with the phase of the game, and each piece is valued in isolation, independently of the other pieces (contrast with `imbalance`). [total/both sides combined; middlegame value]"
material_t_eg,"Material score. Every piece on the board has a predefined value that changes with the phase of the game, and each piece is valued in isolation, independently of the other pieces (contrast with `imbalance`). [total/both sides combined; endgame value]"
material_t_ph,"Material score. Every piece on the board has a predefined value that changes with the phase of the game, and each piece is valued in isolation, independently of the other pieces (contrast with `imbalance`). [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]"
imbalance_t_mg,"Second-order material score: the value of each piece is adjusted with respect to all other pieces on the board, favouring or penalising particular piece-count combinations (e.g. a bishop pair is preferred over bishop plus knight). Computed as a quadratic form of the piece counts with a preset weight matrix. [total/both sides combined; middlegame value]"
imbalance_t_eg,"Second-order material score: the value of each piece is adjusted with respect to all other pieces on the board, favouring or penalising particular piece-count combinations (e.g. a bishop pair is preferred over bishop plus knight). Computed as a quadratic form of the piece counts with a preset weight matrix. [total/both sides combined; endgame value]"
imbalance_t_ph,"Second-order material score: the value of each piece is adjusted with respect to all other pieces on the board, favouring or penalising particular piece-count combinations (e.g. a bishop pair is preferred over bishop plus knight). Computed as a quadratic form of the piece counts with a preset weight matrix. [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]"
pawns_t_mg,"Pawn-structure evaluation: isolated, doubled, connected, backward, blocked, weak pawns and similar features. [total/both sides combined; middlegame value]"
pawns_t_eg,"Pawn-structure evaluation: isolated, doubled, connected, backward, blocked, weak pawns and similar features. [total/both sides combined; endgame value]"
pawns_t_ph,"Pawn-structure evaluation: isolated, doubled, connected, backward, blocked, weak pawns and similar features. [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]"
knights_mine_mg,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [for the side to move; middlegame value]
knights_mine_eg,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [for the side to move; endgame value]
knights_mine_ph,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [for the side to move; phase-weighted value (middlegame/endgame mix based on remaining material)]
knights_opponent_mg,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [for the opposing side; middlegame value]
knights_opponent_eg,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [for the opposing side; endgame value]
knights_opponent_ph,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [for the opposing side; phase-weighted value (middlegame/endgame mix based on remaining material)]
knights_t_mg,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [total/both sides combined; middlegame value]
knights_t_eg,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [total/both sides combined; endgame value]
knights_t_ph,Knight evaluation; e.g. extra points for knights occupying outposts protected by pawns. [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]
bishop_mine_mg,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [for the side to move; middlegame value]
bishop_mine_eg,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [for the side to move; endgame value]
bishop_mine_ph,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [for the side to move; phase-weighted value (middlegame/endgame mix based on remaining material)]
bishop_opponent_mg,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [for the opposing side; middlegame value]
bishop_opponent_eg,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [for the opposing side; endgame value]
bishop_opponent_ph,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [for the opposing side; phase-weighted value (middlegame/endgame mix based on remaining material)]
bishop_t_mg,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [total/both sides combined; middlegame value]
bishop_t_eg,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [total/both sides combined; endgame value]
bishop_t_ph,Bishop evaluation; e.g. bishops standing on squares of the same colour as their own pawns are penalised. (The paper's probe labels use the singular `bishop`.) [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]
rooks_mine_mg,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [for the side to move; middlegame value]
rooks_mine_eg,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [for the side to move; endgame value]
rooks_mine_ph,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [for the side to move; phase-weighted value (middlegame/endgame mix based on remaining material)]
rooks_opponent_mg,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [for the opposing side; middlegame value]
rooks_opponent_eg,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [for the opposing side; endgame value]
rooks_opponent_ph,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [for the opposing side; phase-weighted value (middlegame/endgame mix based on remaining material)]
rooks_t_mg,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [total/both sides combined; middlegame value]
rooks_t_eg,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [total/both sides combined; endgame value]
rooks_t_ph,Rook evaluation; e.g. rooks occupying open or semi-open files are valued more highly. [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]
queens_mine_mg,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [for the side to move; middlegame value]
queens_mine_eg,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [for the side to move; endgame value]
queens_mine_ph,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [for the side to move; phase-weighted value (middlegame/endgame mix based on remaining material)]
queens_opponent_mg,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [for the opposing side; middlegame value]
queens_opponent_eg,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [for the opposing side; endgame value]
queens_opponent_ph,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [for the opposing side; phase-weighted value (middlegame/endgame mix based on remaining material)]
queens_t_mg,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [total/both sides combined; middlegame value]
queens_t_eg,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [total/both sides combined; endgame value]
queens_t_ph,Queen evaluation; e.g. queens that are subject to a relative pin or a discovered attack are penalised. [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]
mobility_mine_mg,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [for the side to move; middlegame value]"
mobility_mine_eg,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [for the side to move; endgame value]"
mobility_mine_ph,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [for the side to move; phase-weighted value (middlegame/endgame mix based on remaining material)]"
mobility_opponent_mg,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [for the opposing side; middlegame value]"
mobility_opponent_eg,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [for the opposing side; endgame value]"
mobility_opponent_ph,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [for the opposing side; phase-weighted value (middlegame/endgame mix based on remaining material)]"
mobility_t_mg,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [total/both sides combined; middlegame value]"
mobility_t_eg,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [total/both sides combined; endgame value]"
mobility_t_ph,"Piece-mobility score, depending on the number of squares attacked by the side's pieces. [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]"
king_safety_mine_mg,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [for the side to move; middlegame value]"
king_safety_mine_eg,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [for the side to move; endgame value]"
king_safety_mine_ph,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [for the side to move; phase-weighted value (middlegame/endgame mix based on remaining material)]"
king_safety_opponent_mg,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [for the opposing side; middlegame value]"
king_safety_opponent_eg,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [for the opposing side; endgame value]"
king_safety_opponent_ph,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [for the opposing side; phase-weighted value (middlegame/endgame mix based on remaining material)]"
king_safety_t_mg,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [total/both sides combined; middlegame value]"
king_safety_t_eg,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [total/both sides combined; endgame value]"
king_safety_t_ph,"Complex king-safety term: number and type of pieces attacking the squares around the king, pawn-shelter strength, number of pawns around the king, penalties for a king on a pawnless flank, and similar features. [total/both sides combined; phase-weighted value (middlegame/endgame mix based on remaining material)]"
threats_mine_mg,"Threats against pieces: whether a pawn can safely advance and attack a higher-value enemy piece, hanging pieces, possible x-ray attacks by rooks, and similar features. [for the side to move; middlegame value]"
threats_mine_eg,"Threats against pieces: whether a pawn can safely advance and attack a higher-value enemy piece, hanging pieces, possible x-ray attacks by rooks, and similar features. [for the side to move; endgame value]"
threats_mine_ph,"Threats against pieces: whether a pawn can safely advance and attack a higher-value enemy piece, hanging pieces, possible x-ray attacks by rooks, and similar features. [for the side to move; phase-weighted value (middlegame/endgame mix based on remaining material)]"
threats_opponent_mg,"Threats against pieces: whether a pawn can safely advance and attack a higher-value enemy piece, hanging pieces, possible x-ray attacks by rooks, and similar features. [for the opposing side; middlegame value]"
threats_opponent_eg,"Threats against pieces: whether a pawn can safely advance and attack a higher-value enemy piece, hanging pieces, possible x-ray attacks by rooks, and similar features. [for the opposing side; endgame value]"
threats_opponent_ph,"Threats against pieces: whether a pawn can safely advance and attack a higher-value enemy piece, hanging pieces, possible x-ray attacks by rooks, and similar features. [for the opposing side; phase-weighted value (middlegame/endgame mix based on remaining material)]"
threats_t_mg,"Threats against pieces: whether a pawn can safely advance and attack a higher-value enemy piece, hanging pieces, possible x-ray attacks by rooks, and similar features. [total/both sides combined; middlegame value]"
