"id","white","black","side_to_move","critical_move","fen","eval_before_cp","eval_after_cp","piece_by_piece_chessplainer","explanation_beginner","explanation_intermediate","explanation_advanced"
"1","Robert James Fischer","James T Sherwin","Black","Kxg7","2b2rk1/pr3pPn/1p2p3/8/2pP1B1q/2P5/PPQ2PB1/R3R1K1 b - - 0 23","129","303","Qh4 → -0.435; Qc2 → +0.397; Ra1 → +0.261; Re1 → +0.243; Rb7 → -0.224; Rf8 → -0.208; Bg2 → +0.208; Bc8 → -0.128","White is clearly better here. Material is almost equal, but White has a very dangerous pawn on g7, one step from becoming a queen, and White's queen and rooks are all doing useful work. Black's biggest hope is the active queen on h4, so White should stay alert to her tricks while keeping the g7-pawn protected.","White holds a clear advantage (about +1.3). The far-advanced g7-pawn cramps Black, White's queen on c2 and both rooks are well placed, while Black's counterplay rests almost entirely on the aggressive queen on h4 — the knight on h7 is offside. White's plan is to neutralise the h4-queen's threats and keep g7 as a permanent thorn; Black must generate queen activity before White consolidates.","White is clearly better (~+1.3): the whole white army (Qc2, Ra1, Re1, the g7-pawn) contributes, whereas Black's dynamic potential is concentrated in the h4-queen, with the b7/f8-rooks defensive and the h7-knight entombed. The g7-pawn is the long-term trump that ties Black down. White should defuse the queen's activity — after that, the position plays itself."
"2","Robert James Fischer","James T Sherwin","Black","f5","2b2r2/pr3pkn/1p2p3/7q/2pP1B2/2P1R3/PPQ2PB1/R5K1 b - - 3 25","290","509","Qc2 → +0.420; Qh5 → -0.359; Re3 → +0.272; Ra1 → +0.243; Rf8 → -0.231; Rb7 → -0.203; Bg2 → +0.179; Bf4 → +0.161","White has a large advantage even though material is equal. White's queen and rooks are much more active — one rook has even swung across the third rank — while Black's knight in the corner does nothing and the black king is not very safe. White should keep attacking and bring more pieces toward the black king.","White is clearly on top (about +2.9) with equal material: the queen on c2 and the rook lifted to e3 spearhead an attack, Black's h7-knight is a dead piece and the king on g7 is exposed. Black's queen on h5 is the only active defender. White should open lines against the king; Black must trade queens or free the knight.","White enjoys a large advantage (~+2.9) on pure activity: Qc2 plus the e3 rook-lift against a Black setup whose only working piece is the h5-queen — the h7-knight is out of play and the king lacks cover. White keeps pieces on and intensifies the pressure; exchanging the attackers is Black's only relief and White should not allow it."
"3","Robert James Fischer","James T Sherwin","White","Bxf6","2b2r2/pr2qk2/1p2pn2/4BpQ1/2pP4/2P4R/PP3PB1/R5K1 w - - 8 30","707","584","Qg5 → +0.451; Rh3 → +0.316; Qe7 → -0.304; Be5 → +0.204; Rf8 → -0.200; Ra1 → +0.191; Rb7 → -0.158; Bg2 → +0.157","White is completely winning here. Material is equal, but White's queen and rook are right next to the black king and the strong bishop in the middle of the board joins the attack. White just needs to keep playing accurately to finish the game.","White is winning (about +7): the queen on g5 and the rook on h3 already point at the black king, supported by the powerful e5-bishop, while Black's queen on e7 defends alone. White should add the last attacker and break through; concrete threats flow naturally. Black has no counterplay.","White is winning (~+7): the Qg5/Rh3 battery plus the centralised e5-bishop form a decisive attacking formation against a defence carried by the e7-queen alone. Material is level but every white piece outworks its counterpart. Conversion is technique — keep the initiative and open the king's cover at the right moment."
"4","Robert James Fischer","Bent Larsen","Black","e5","2r3k1/2r1ppb1/3p2P1/pq5p/1p1BP3/1B3P2/PPPQ4/1K1R4 b - - 0 23","144","280","Qd2 → +0.452; Qb5 → -0.369; Rd1 → +0.284; Rc8 → -0.212; Rc7 → -0.205; Bb3 → +0.194; Bg7 → -0.170; Bd4 → +0.159","This is a sharp fight. Black actually has a bit more material, but White is better: White's queen, rook and bishop are perfectly placed for an attack, and White has dangerous advanced pawns — one all the way on e7. White should push the attack; Black will probably have to give material back.","White is clearly better (about +1.4) despite Black's two extra points of material: the Qd2/Rd1 battery with the b3-bishop and the far-advanced e7- and g6-pawns give full compensation, with White's king safe on b1. Black's queen on b5 and doubled c-file rooks must create counterplay fast. White keeps the initiative; Black must return material to survive.","Despite a two-point deficit, White is clearly better (~+1.4): the Qd2/Rd1/Bb3 attacking trio and the e7/g6 passers outweigh the investment, with the b1-king untouchable. Black's activity (Qb5, rooks doubled on the c-file) is real but a tempo short. The battle is dynamics versus material — White must keep generating threats before Black consolidates."
"5","Robert James Fischer","Bent Larsen","Black","Rf6","2r2k2/5rb1/3P4/pq2p2p/1p6/1B2BP2/PPPQ4/1K1R4 b - - 0 27","485","614","Qd2 → +0.458; Qb5 → -0.361; Rd1 → +0.311; Rc8 → -0.201; Rf7 → -0.198; Bb3 → +0.193; Be3 → +0.150; Bg7 → -0.132","White is winning here. Black has a tiny material edge, but White's queen, rook and bishop are aiming at the black king, and the strong pawn on d6 can't be easily stopped. White should keep pushing forward and threatening the black king.","White is winning (about +4.9) despite being nominally a pawn down: the Qd2/Rd1 battery with the b3-bishop and the protected d6-passer are decisive, and White's king is safe on b1. Black's b5-queen provides the only activity. White piles on pressure and advances the passer at the right moment; Black has no adequate defence.","White is winning (~+4.9): the Qd2/Rd1/Bb3 formation plus the d6 passer dominate, and Black's token extra pawn is irrelevant with the b1-king secure. Black's b5-queen and scattered rooks cannot both defend the king and blockade. White converts by combining passer threats with pressure on the king."
"6","Robert James Fischer","Bent Larsen","Black","Qb7","2r2k2/6b1/3P1r2/pq2p1Bp/1p6/1B3P2/PPPQ4/1K1R4 b - - 2 28","634","964","Qd2 → +0.458; Qb5 → -0.373; Rd1 → +0.323; Rf6 → -0.215; Rc8 → -0.197; Bb3 → +0.179; Bg5 → +0.177; Bg7 → -0.118","White is clearly winning. Even though Black has slightly more material, White's queen, rook and bishop dominate and the far-advanced pawn on d6 is a constant threat. White should keep attacking and push that pawn forward.","White is winning (about +6.3): the Qd2/Rd1 battery with the b3-bishop and the d6-passer overwhelm Black, whose f6-rook and b5-queen are stretched between defence and blockade. White keeps improving the attackers and advances the passer when ready. Black is essentially defenceless.","White is winning (~+6.3): the Qd2/Rd1/Bb3 trio plus the d6 passer render Black's nominal material parity meaningless. Black's pieces (Qb5, Rf6, Rc8) are overloaded between king defence and stopping the pawn. With the b1-king safe, White converts at leisure."
"7","Robert James Fischer","Bent Larsen","Black","Bxf6","2r2k2/1q4b1/3P1B2/p3p2p/1p6/1B3P2/PPPQ4/1K1R4 b - - 0 29","1052","99989","Qd2 → +0.460; Qb7 → -0.346; Rd1 → +0.303; Rc8 → -0.200; Bb3 → +0.176; Bg7 → -0.172; Bf6 → +0.081; c2 → +0.066","White is totally winning — ahead by a whole piece with a crushing attack, and the position is essentially decided. White's queen, rook and bishop all point at Black's position while the d6-pawn marches on. White just needs to finish cleanly.","White is completely winning (about +10.5): a clear extra piece, the Qd2/Rd1 battery with the b3-bishop, and the d6-passer. Black's queen on b7 and g7-bishop are spectators to the collapse. The position is essentially over; White presses the attack home.","White is winning by force (~+10.5): up a piece with the Qd2/Rd1/Bb3 formation and a d6 passer — deep analysis already shows a forced mate. Black's Qb7/Rc8/Bg7 cannot coordinate a defence. There is nothing left for Black but the manner of the loss."
"8","Herman Pilnik","Robert James Fischer","White","d6","r5k1/2R2p1p/6p1/3Pp3/6P1/P2b1B2/1r5P/5R1K w - - 3 34","-111","-234","Rb2 → -0.334; Rc7 → +0.317; Ra8 → -0.311; Rf1 → +0.298; Bd3 → -0.198; Bf3 → +0.179; a3 → +0.113; e5 → -0.062","Black is clearly better in this endgame. Black's rook on b2 and bishop on d3 are very active, while White's king is stuck in the corner. White does have real chances too — a rook deep on c7 and a pawn on d5 that could run — so Black must stay accurate while pressing.","Black holds a clear advantage (about -1.1): the b2-rook and d3-bishop dominate and White's king is boxed in on h1, though White's own c7-rook and d5-passer offer genuine counterplay. Black should keep maximum activity, watch the d-pawn, and improve the king. White must generate threats with the seventh-rank rook before Black consolidates.","Black is clearly better (~-1.1): the b2-rook and d3-bishop outgun White's setup, whose assets — the c7-rook and the d5 passer — are the only counterplay while the h1-king spectates. The battle is Black's activity versus White's passer. Black converts by restraining d5 and keeping the rook-and-bishop pressure; careless play lets the c7-rook and pawn become dangerous."
"9","Robert James Fischer","Hector Decio Rossetto","Black","Nb8","3r1rk1/3n3p/pp1p2p1/3Ppp2/BPP5/R4P2/P5PP/2R3K1 b - - 1 24","21","139","Ra3 → +0.347; Rc1 → +0.337; Rd8 → -0.303; Rf8 → -0.303; Ba4 → +0.207; Nd7 → -0.178; b4 → +0.121; a6 → -0.076","The position is roughly equal. Both sides' rooks are active and facing each other, White has a pawn on d5 that could push forward, and Black's pieces are alert enough to hold it. Careful play from both sides should keep the balance.","The position is about level (roughly +0.2): White's rook pair (a3, c1) and light-squared bishop face Black's central rooks, with White's d5-passer balanced by Black's piece activity. Both sides improve — White supports the passer, Black blockades and stays active. Objectively equal.","The evaluation is essentially balanced (~+0.2): White's a3/c1 rooks and a4-bishop versus Black's d8/f8 rooks and d7-knight roughly cancel, with the d5 passer as White's nominal trump. The strategic contest is advance-and-support versus blockade-and-counterplay. Small inaccuracies will decide; the position is equal."
"10","Robert James Fischer","Hector Decio Rossetto","White","h3","2r2n2/1RP3k1/6pp/p3pp2/P7/1B3P2/6PP/6K1 w - - 0 35","433","330","Rc8 → -0.411; Rb7 → +0.370; c7 → +0.222; Bb3 → +0.203; Nf8 → -0.145; a5 → -0.139; a4 → +0.127; f5 → -0.069","White is winning this endgame. White's pawn on c7 is one step from becoming a queen, supported by the rook on b7, and Black's rook and knight are chained to stopping it. White should keep pressing — Black cannot hold forever.","White is winning (about +4.3): the c7-passer, the b7-rook behind it, and the b3-bishop tie Black's c8-rook and f8-knight to pure blockade duty. White improves the king and prepares the breakthrough. Black has no active plan whatsoever.","White is winning (~+4.3): the c7 passer with the b7-rook makes Black's c8-rook the single most burdened piece on the board — it can never leave the blockade — while the f8-knight is equally frozen. White converts via king activation and a second front to overload the defence. Black's pieces have no future."
